# Data output for iteration700
          Position_x          Position_y            Pressure          Velocity_x          Velocity_y            Density
                -0.4                -0.4             55350.6                   0                   0              1101.6
                -0.4                -0.2             53123.4                   0                   0             1098.46
                -0.2                -0.4             55017.5                   0                   0             1101.13
                -0.2                -0.2             49150.7                   0                   0             1092.71
                   0                -0.4             60603.8                   0                   0             1108.81
                   0                -0.2             56309.1                   0                   0             1102.94
                 0.2                -0.4             58525.9                   0                   0             1105.99
                 0.2                -0.2             55686.5                   0                   0             1102.07
                 0.4                -0.4             53503.7                   0                   0                1099
                 0.4                -0.2               51705                   0                   0             1096.43
                 0.6                -0.4             53470.9                   0                   0             1098.95
                 0.6                -0.2             50849.6                   0                   0             1095.19
                 0.8                -0.4             54904.3                   0                   0             1100.97
                 0.8                -0.2             54767.9                   0                   0             1100.78
                   1                -0.4             55444.6                   0                   0             1101.73
                   1                -0.2             55010.5                   0                   0             1101.12
                 1.2                -0.4             54305.5                   0                   0             1100.13
                 1.2                -0.2             53569.2                   0                   0             1099.09
                 1.4                -0.4             51344.4                   0                   0             1095.91
                 1.4                -0.2             52338.4                   0                   0             1097.34
                 1.6                -0.4             44453.2                   0                   0             1085.68
                 1.6                -0.2             41962.9                   0                   0             1081.84
                 1.8                -0.4             49874.9                   0                   0             1093.77
                 1.8                -0.2             49596.7                   0                   0             1093.37
                   2                -0.4             48028.5                   0                   0             1091.06
                   2                -0.2             48796.6                   0                   0             1092.19
                 2.2                -0.4             42524.9                   0                   0             1082.71
                 2.2                -0.2               40632                   0                   0             1079.75
                 2.4                -0.4             48166.5                   0                   0             1091.26
                 2.4                -0.2             48610.7                   0                   0             1091.92
                 2.6                -0.4             42041.9                   0                   0             1081.96
                 2.6                -0.2             38052.1                   0                   0             1075.63
                 2.8                -0.4             42773.1                   0                   0              1083.1
                 2.8                -0.2             39555.1                   0                   0             1078.04
                   3                -0.4             49668.3                   0                   0             1093.47
                   3                -0.2             48224.6                   0                   0             1091.35
                 3.2                -0.4             39945.5                   0                   0             1078.66
                 3.2                -0.2             36045.5                   0                   0             1072.37
                 3.4                -0.4               40031                   0                   0              1078.8
                 3.4                -0.2             39176.1                   0                   0             1077.44
                 3.6                -0.4             37506.6                   0                   0             1074.75
                 3.6                -0.2             37720.7                   0                   0              1075.1
                 3.8                -0.4             34525.7                   0                   0             1069.85
                 3.8                -0.2             35859.8                   0                   0             1072.06
                   4                -0.4             35623.7                   0                   0             1071.67
                   4                -0.2             39022.9                   0                   0             1077.19
                 4.2                -0.4             34256.9                   0                   0              1069.4
                 4.2                -0.2             38756.4                   0                   0             1076.77
                 4.4                -0.4             31798.7                   0                   0             1065.24
                 4.4                -0.2             35300.3                   0                   0             1071.14
                 4.6                -0.4             31230.3                   0                   0             1064.27
                 4.6                -0.2             34471.6                   0                   0             1069.76
                 4.8                -0.4             30366.6                   0                   0             1062.78
                 4.8                -0.2             33233.9                   0                   0             1067.68
                   5                -0.4             29804.3                   0                   0              1061.8
                   5                -0.2             33413.6                   0                   0             1067.99
                 5.2                -0.4             28049.9                   0                   0             1058.71
                 5.2                -0.2             31094.5                   0                   0             1064.03
                 5.4                -0.4             26635.1                   0                   0             1056.18
                 5.4                -0.2             29051.3                   0                   0             1060.48
                 5.6                -0.4             25700.5                   0                   0             1054.49
                 5.6                -0.2             28451.2                   0                   0             1059.42
                 5.8                -0.4             24939.2                   0                   0              1053.1
                 5.8                -0.2             28162.6                   0                   0             1058.91
                   6                -0.4             23990.7                   0                   0             1051.35
                   6                -0.2             26813.1                   0                   0              1056.5
                 6.2                -0.4             23026.8                   0                   0             1049.56
                 6.2                -0.2             25324.3                   0                   0              1053.8
                 6.4                -0.4             22271.2                   0                   0             1048.14
                 6.4                -0.2             25061.5                   0                   0             1053.32
                 6.6                -0.4             21509.3                   0                   0              1046.7
                 6.6                -0.2             24647.7                   0                   0             1052.56
                 6.8                -0.4               20572                   0                   0             1044.91
                 6.8                -0.2             23886.2                   0                   0             1051.16
                   7                -0.4             19442.1                   0                   0             1042.72
                   7                -0.2             22866.9                   0                   0             1049.26
                 7.2                -0.4             18362.2                   0                   0             1040.61
                 7.2                -0.2               21757                   0                   0             1047.17
                 7.4                -0.4             17508.1                   0                   0             1038.92
                 7.4                -0.2             20618.4                   0                   0                1045
                 7.6                -0.4             16974.4                   0                   0             1037.86
                 7.6                -0.2             19724.3                   0                   0             1043.27
                 7.8                -0.4             16705.3                   0                   0             1037.32
                 7.8                -0.2             19532.2                   0                   0              1042.9
                   8                -0.4               16539                   0                   0             1036.98
                   8                -0.2             19462.7                   0                   0             1042.76
                 8.2                -0.4             16367.6                   0                   0             1036.64
                 8.2                -0.2             19550.8                   0                   0             1042.93
                 8.4                -0.4             16112.3                   0                   0             1036.12
                 8.4                -0.2             19793.9                   0                   0             1043.41
                 8.6                -0.4             15706.8                   0                   0              1035.3
                 8.6                -0.2             20123.7                   0                   0             1044.04
                 8.8                -0.4             15110.5                   0                   0             1034.09
                 8.8                -0.2             20411.6                   0                   0              1044.6
                   9                -0.4             14309.3                   0                   0             1032.44
                   9                -0.2             20523.7                   0                   0             1044.81
                 9.2                -0.4             13304.5                   0                   0             1030.35
                 9.2                -0.2             20323.2                   0                   0             1044.43
                 9.4                -0.4             12150.3                   0                   0             1027.92
                 9.4                -0.2             19717.8                   0                   0             1043.26
                 9.6                -0.4             10922.2                   0                   0              1025.3
                 9.6                -0.2             18741.9                   0                   0             1041.36
                 9.8                -0.4             9695.59                   0                   0             1022.64
                 9.8                -0.2             17440.1                   0                   0             1038.78
                  10                -0.4             8556.01                   0                   0             1020.13
                  10                -0.2             16129.9                   0                   0             1036.16
                10.2                -0.4             7572.67                   0                   0             1017.94
                10.2                -0.2             14656.9                   0                   0             1033.16
                10.4                -0.4             6760.22                   0                   0              1016.1
                10.4                -0.2             13254.7                   0                   0             1030.25
                10.6                -0.4             6128.63                   0                   0             1014.66
                10.6                -0.2             12015.3                   0                   0             1027.64
                10.8                -0.4             5669.52                   0                   0             1013.61
                10.8                -0.2             10996.8                   0                   0             1025.46
                  11                -0.4             5359.87                   0                   0             1012.89
                  11                -0.2             10175.4                   0                   0             1023.69
                11.2                -0.4             5180.07                   0                   0             1012.47
                11.2                -0.2             9519.28                   0                   0             1022.26
                11.4                -0.4             5117.69                   0                   0             1012.33
                11.4                -0.2             9021.26                   0                   0             1021.16
                11.6                -0.4              5157.4                   0                   0             1012.42
                11.6                -0.2             8647.86                   0                   0             1020.34
                11.8                -0.4             5284.94                   0                   0             1012.72
                11.8                -0.2             8371.91                   0                   0             1019.72
                  12                -0.4             5487.57                   0                   0             1013.19
                  12                -0.2             8175.99                   0                   0             1019.29
                12.2                -0.4             5752.18                   0                   0              1013.8
                12.2                -0.2             8050.21                   0                   0             1019.01
                12.4                -0.4             6067.65                   0                   0             1014.52
                12.4                -0.2             7995.85                   0                   0             1018.89
                12.6                -0.4             6421.69                   0                   0             1015.33
                12.6                -0.2             8014.47                   0                   0             1018.93
                12.8                -0.4             6802.27                   0                   0              1016.2
                12.8                -0.2              8110.5                   0                   0             1019.14
                  13                -0.4             7204.22                   0                   0             1017.11
                  13                -0.2             8293.47                   0                   0             1019.55
                13.2                -0.4             7617.68                   0                   0             1018.04
                13.2                -0.2             8554.45                   0                   0             1020.13
                13.4                -0.4              8032.1                   0                   0             1018.97
                13.4                -0.2             8883.35                   0                   0             1020.86
                13.6                -0.4             8440.32                   0                   0             1019.88
                13.6                -0.2             9266.33                   0                   0              1021.7
                13.8                -0.4             8835.06                   0                   0             1020.75
                13.8                -0.2             9682.27                   0                   0             1022.61
                  14                -0.4             9209.55                   0                   0             1021.58
                  14                -0.2               10103                   0                   0             1023.53
                14.2                -0.4             9556.01                   0                   0             1022.34
                14.2                -0.2             10497.5                   0                   0             1024.39
                14.4                -0.4             9865.26                   0                   0             1023.01
                14.4                -0.2             10843.1                   0                   0             1025.13
                14.6                -0.4             10126.1                   0                   0             1023.58
                14.6                -0.2             11109.9                   0                   0             1025.71
                14.8                -0.4             10327.3                   0                   0             1024.02
                14.8                -0.2             11282.2                   0                   0             1026.07
                  15                -0.4             10469.1                   0                   0             1024.32
                  15                -0.2             11372.1                   0                   0             1026.27
                15.2                -0.4             10554.5                   0                   0             1024.51
                15.2                -0.2             11382.4                   0                   0             1026.29
                15.4                -0.4             10588.2                   0                   0             1024.58
                15.4                -0.2             11332.7                   0                   0             1026.18
                15.6                -0.4             10576.2                   0                   0             1024.56
                15.6                -0.2             11223.7                   0                   0             1025.95
                15.8                -0.4             10523.1                   0                   0             1024.44
                15.8                -0.2             11080.6                   0                   0             1025.64
                  16                -0.4             10438.9                   0                   0             1024.26
                  16                -0.2             10916.6                   0                   0             1025.29
                16.2                -0.4             10344.7                   0                   0             1024.05
                16.2                -0.2             10775.6                   0                   0             1024.99
                16.4                -0.4             10248.4                   0                   0             1023.85
                16.4                -0.2             10646.7                   0                   0             1024.71
                16.6                -0.4               10159                   0                   0             1023.65
                16.6                -0.2             10508.7                   0                   0             1024.41
                16.8                -0.4             10086.4                   0                   0             1023.49
                16.8                -0.2             10425.6                   0                   0             1024.23
                  17                -0.4             10016.1                   0                   0             1023.34
                  17                -0.2             10253.7                   0                   0             1023.86
                17.2                -0.4             9974.62                   0                   0             1023.25
                17.2                -0.2             10183.8                   0                   0             1023.71
                17.4                -0.4             9923.86                   0                   0             1023.14
                17.4                -0.2             9943.31                   0                   0             1023.18
                17.6                -0.4             9889.05                   0                   0             1023.06
                17.6                -0.2             9791.47                   0                   0             1022.85
                17.8                -0.4             9792.47                   0                   0             1022.85
                17.8                -0.2             9437.38                   0                   0             1022.08
                  18                -0.4             9737.09                   0                   0             1022.73
                  18                -0.2             9095.75                   0                   0             1021.33
                18.2                -0.4             9584.55                   0                   0              1022.4
                18.2                -0.2             8706.48                   0                   0             1020.47
                18.4                -0.4             9291.01                   0                   0             1021.76
                18.4                -0.2             7934.64                   0                   0             1018.75
                18.6                -0.4             9001.71                   0                   0             1021.12
                18.6                -0.2             7184.14                   0                   0             1017.06
                18.8                -0.4             8670.73                   0                   0             1020.39
                18.8                -0.2             6461.88                   0                   0             1015.42
                  19                -0.4             7728.01                   0                   0             1018.29
                  19                -0.2             6022.06                   0                   0             1014.42
                19.2                -0.4             5911.16                   0                   0             1014.16
                19.2                -0.2             4215.54                   0                   0             1010.22
                19.4                -0.4             4703.37                   0                   0             1011.36
                19.4                -0.2             3481.21                   0                   0             1008.48
                19.6                -0.4             2714.66                   0                   0             1006.65
                19.6                -0.2             2102.97                   0                   0             1005.18
                19.8                -0.4             833.405                   0                   0             1002.07
                19.8                -0.2             2000.12                   0                   0             1004.93
                  20                -0.4             -1416.9                   0                   0              996.42
                  20                -0.2            -838.024                   0                   0             997.892
                20.2                -0.4             833.086                   0                   0             1002.07
                20.2                -0.2            -952.504                   0                   0             997.602
                20.4                -0.4                4421                   0                   0              1010.7
                20.4                -0.2              2618.8                   0                   0             1006.42
                -0.4                   0             52900.3                   0                   0             1098.14
                -0.4                 0.2             53814.3                   0                   0             1099.44
                -0.4                 0.4             56333.7                   0                   0             1102.97
                -0.4                 0.6             54040.7                   0                   0             1099.76
                -0.4                 0.8             46162.3                   0                   0             1088.27
                -0.4                   1             41263.4                   0                   0             1080.74
                -0.4                 1.2             36784.8                   0                   0             1073.58
                -0.4                 1.4             33691.7                   0                   0             1068.45
                -0.4                 1.6             30070.7                   0                   0             1062.26
                -0.4                 1.8             26689.4                   0                   0             1056.28
                -0.4                   2             23688.3                   0                   0             1050.79
                -0.4                 2.2             21169.7                   0                   0             1046.05
                -0.4                 2.4             18618.3                   0                   0             1041.11
                -0.4                 2.6             16074.4                   0                   0             1036.05
                -0.4                 2.8             12899.2                   0                   0              1029.5
                -0.4                   3             10610.7                   0                   0             1024.63
                -0.4                 3.2             9829.93                   0                   0             1022.94
                -0.4                 3.4             4825.05                   0                   0             1011.65
                -0.4                 3.6            -961.639                   0                   0             997.578
                -0.4                 3.8            -3139.03                   0                   0             991.961
                -0.4                   4            -3484.16                   0                   0             991.053
                -0.4                 4.2            -7522.01                   0                   0             980.039
                -0.4                 4.4            -9045.39                   0                   0             975.683
                -0.4                 4.6             -7500.9                   0                   0             980.098
                -0.4                 4.8            -6134.02                   0                   0             983.909
                -0.4                   5            -4988.94                   0                   0             987.034
                -0.4                 5.2            -4049.29                   0                   0             989.555
                -0.4                 5.4            -3276.44                   0                   0               991.6
                -0.4                 5.6            -2637.65                   0                   0             993.272
                -0.4                 5.8            -2106.52                   0                   0             994.649
                -0.4                   6            -1663.86                   0                   0             995.787
                -0.4                 6.2            -1296.28                   0                   0             996.727
                -0.4                 6.4            -993.945                   0                   0             997.496
                -0.4                 6.6            -748.891                   0                   0             998.117
                -0.4                 6.8            -553.852                   0                   0              998.61
                -0.4                   7            -401.789                   0                   0             998.992
                -0.4                 7.2            -285.818                   0                   0             999.284
