# Data output for iteration0
          Position_x          Position_y            Pressure          Velocity_x          Velocity_y            Density
                -0.4                -0.4                   0                   0                   0                1000
                -0.4                -0.2                   0                   0                   0                1000
                -0.2                -0.4                   0                   0                   0                1000
                -0.2                -0.2                   0                   0                   0                1000
                   0                -0.4                   0                   0                   0                1000
                   0                -0.2                   0                   0                   0                1000
                 0.2                -0.4                   0                   0                   0                1000
                 0.2                -0.2                   0                   0                   0                1000
                 0.4                -0.4                   0                   0                   0                1000
                 0.4                -0.2                   0                   0                   0                1000
                 0.6                -0.4                   0                   0                   0                1000
                 0.6                -0.2                   0                   0                   0                1000
                 0.8                -0.4                   0                   0                   0                1000
                 0.8                -0.2                   0                   0                   0                1000
                   1                -0.4                   0                   0                   0                1000
                   1                -0.2                   0                   0                   0                1000
                 1.2                -0.4                   0                   0                   0                1000
                 1.2                -0.2                   0                   0                   0                1000
                 1.4                -0.4                   0                   0                   0                1000
                 1.4                -0.2                   0                   0                   0                1000
                 1.6                -0.4                   0                   0                   0                1000
                 1.6                -0.2                   0                   0                   0                1000
                 1.8                -0.4                   0                   0                   0                1000
                 1.8                -0.2                   0                   0                   0                1000
                   2                -0.4                   0                   0                   0                1000
                   2                -0.2                   0                   0                   0                1000
                 2.2                -0.4                   0                   0                   0                1000
                 2.2                -0.2                   0                   0                   0                1000
                 2.4                -0.4                   0                   0                   0                1000
                 2.4                -0.2                   0                   0                   0                1000
                 2.6                -0.4                   0                   0                   0                1000
                 2.6                -0.2                   0                   0                   0                1000
                 2.8                -0.4                   0                   0                   0                1000
                 2.8                -0.2                   0                   0                   0                1000
                   3                -0.4                   0                   0                   0                1000
                   3                -0.2                   0                   0                   0                1000
                 3.2                -0.4                   0                   0                   0                1000
                 3.2                -0.2                   0                   0                   0                1000
                 3.4                -0.4                   0                   0                   0                1000
                 3.4                -0.2                   0                   0                   0                1000
                 3.6                -0.4                   0                   0                   0                1000
                 3.6                -0.2                   0                   0                   0                1000
                 3.8                -0.4                   0                   0                   0                1000
                 3.8                -0.2                   0                   0                   0                1000
                   4                -0.4                   0                   0                   0                1000
                   4                -0.2                   0                   0                   0                1000
                 4.2                -0.4                   0                   0                   0                1000
                 4.2                -0.2                   0                   0                   0                1000
                 4.4                -0.4                   0                   0                   0                1000
                 4.4                -0.2                   0                   0                   0                1000
                 4.6                -0.4                   0                   0                   0                1000
                 4.6                -0.2                   0                   0                   0                1000
                 4.8                -0.4                   0                   0                   0                1000
                 4.8                -0.2                   0                   0                   0                1000
                   5                -0.4                   0                   0                   0                1000
                   5                -0.2                   0                   0                   0                1000
                 5.2                -0.4                   0                   0                   0                1000
                 5.2                -0.2                   0                   0                   0                1000
                 5.4                -0.4                   0                   0                   0                1000
                 5.4                -0.2                   0                   0                   0                1000
                 5.6                -0.4                   0                   0                   0                1000
                 5.6                -0.2                   0                   0                   0                1000
                 5.8                -0.4                   0                   0                   0                1000
                 5.8                -0.2                   0                   0                   0                1000
                   6                -0.4                   0                   0                   0                1000
                   6                -0.2                   0                   0                   0                1000
                 6.2                -0.4                   0                   0                   0                1000
                 6.2                -0.2                   0                   0                   0                1000
                 6.4                -0.4                   0                   0                   0                1000
                 6.4                -0.2                   0                   0                   0                1000
                 6.6                -0.4                   0                   0                   0                1000
                 6.6                -0.2                   0                   0                   0                1000
                 6.8                -0.4                   0                   0                   0                1000
                 6.8                -0.2                   0                   0                   0                1000
                   7                -0.4                   0                   0                   0                1000
                   7                -0.2                   0                   0                   0                1000
                 7.2                -0.4                   0                   0                   0                1000
                 7.2                -0.2                   0                   0                   0                1000
                 7.4                -0.4                   0                   0                   0                1000
                 7.4                -0.2                   0                   0                   0                1000
                 7.6                -0.4                   0                   0                   0                1000
                 7.6                -0.2                   0                   0                   0                1000
                 7.8                -0.4                   0                   0                   0                1000
                 7.8                -0.2                   0                   0                   0                1000
                   8                -0.4                   0                   0                   0                1000
                   8                -0.2                   0                   0                   0                1000
                 8.2                -0.4                   0                   0                   0                1000
                 8.2                -0.2                   0                   0                   0                1000
                 8.4                -0.4                   0                   0                   0                1000
                 8.4                -0.2                   0                   0                   0                1000
                 8.6                -0.4                   0                   0                   0                1000
                 8.6                -0.2                   0                   0                   0                1000
                 8.8                -0.4                   0                   0                   0                1000
                 8.8                -0.2                   0                   0                   0                1000
                   9                -0.4                   0                   0                   0                1000
                   9                -0.2                   0                   0                   0                1000
