# Data output for iteration200
          Position_x          Position_y            Pressure          Velocity_x          Velocity_y            Density
                -0.4                -0.4             44229.6                   0                   0             1085.34
                -0.4                -0.2             49743.4                   0                   0             1093.58
                -0.2                -0.4             51991.4                   0                   0             1096.84
                -0.2                -0.2             57854.5                   0                   0             1105.07
                   0                -0.4             49649.1                   0                   0             1093.44
                   0                -0.2             54943.7                   0                   0             1101.03
                 0.2                -0.4             46708.2                   0                   0             1089.09
                 0.2                -0.2               53420                   0                   0             1098.88
                 0.4                -0.4             47025.4                   0                   0             1089.57
                 0.4                -0.2             53895.1                   0                   0             1099.55
                 0.6                -0.4             46209.4                   0                   0             1088.34
                 0.6                -0.2             53029.6                   0                   0             1098.32
                 0.8                -0.4             45805.7                   0                   0             1087.73
                 0.8                -0.2             52454.3                   0                   0              1097.5
                   1                -0.4             45629.5                   0                   0             1087.47
                   1                -0.2               52081                   0                   0             1096.97
                 1.2                -0.4             45357.4                   0                   0             1087.06
                 1.2                -0.2             51492.4                   0                   0             1096.12
                 1.4                -0.4             45028.1                   0                   0             1086.56
                 1.4                -0.2             50851.5                   0                   0             1095.19
                 1.6                -0.4             44561.9                   0                   0             1085.85
                 1.6                -0.2               49930                   0                   0             1093.85
                 1.8                -0.4             44012.3                   0                   0             1085.01
                 1.8                -0.2             48949.9                   0                   0             1092.42
                   2                -0.4             43346.2                   0                   0             1083.98
                   2                -0.2             47461.8                   0                   0             1090.22
                 2.2                -0.4             42597.4                   0                   0             1082.83
                 2.2                -0.2             46127.9                   0                   0             1088.22
                 2.4                -0.4               41866                   0                   0             1081.69
                 2.4                -0.2             44774.3                   0                   0             1086.17
                 2.6                -0.4             41158.9                   0                   0             1080.58
                 2.6                -0.2               43394                   0                   0             1084.06
                 2.8                -0.4             40486.7                   0                   0             1079.52
                 2.8                -0.2             42084.9                   0                   0             1082.03
                   3                -0.4             39873.2                   0                   0             1078.55
                   3                -0.2               40869                   0                   0             1080.12
                 3.2                -0.4             39327.6                   0                   0             1077.68
