# Data output for iteration600
          Position_x          Position_y            Pressure          Velocity_x          Velocity_y            Density
                -0.4                -0.4             38742.3                   0                   0             1076.74
                -0.4                -0.2             43273.5                   0                   0             1083.87
                -0.2                -0.4             55404.8                   0                   0             1101.68
                -0.2                -0.2             57411.5                   0                   0             1104.46
                   0                -0.4             57964.1                   0                   0             1105.22
                   0                -0.2             58913.3                   0                   0             1106.52
                 0.2                -0.4             45995.2                   0                   0             1088.02
                 0.2                -0.2             48959.3                   0                   0             1092.43
                 0.4                -0.4             44170.6                   0                   0             1085.25
                 0.4                -0.2             49200.9                   0                   0             1092.79
                 0.6                -0.4             44500.8                   0                   0             1085.75
                 0.6                -0.2               51777                   0                   0             1096.53
                 0.8                -0.4             44306.7                   0                   0             1085.46
                 0.8                -0.2             49725.9                   0                   0             1093.56
                   1                -0.4             44448.6                   0                   0             1085.67
                   1                -0.2             50068.5                   0                   0             1094.06
                 1.2                -0.4             45593.3                   0                   0             1087.41
                 1.2                -0.2               56478                   0                   0             1103.17
                 1.4                -0.4               42287                   0                   0             1082.34
                 1.4                -0.2             51456.7                   0                   0             1096.07
                 1.6                -0.4             44737.6                   0                   0             1086.11
                 1.6                -0.2             51426.2                   0                   0             1096.03
                 1.8                -0.4             45547.6                   0                   0             1087.34
                 1.8                -0.2             52201.9                   0                   0             1097.14
                   2                -0.4             43783.2                   0                   0             1084.65
                   2                -0.2             49434.3                   0                   0             1093.13
                 2.2                -0.4             47264.2                   0                   0             1089.92
                 2.2                -0.2             52065.8                   0                   0             1096.95
                 2.4                -0.4             41336.9                   0                   0             1080.86
                 2.4                -0.2             44183.8                   0                   0             1085.27
                 2.6                -0.4             39849.6                   0                   0             1078.51
                 2.6                -0.2             40873.4                   0                   0             1080.13
                 2.8                -0.4             39934.3                   0                   0             1078.65
                 2.8                -0.2             41048.3                   0                   0             1080.41
                   3                -0.4             37179.4                   0                   0             1074.22
                   3                -0.2             36234.2                   0                   0             1072.68
                 3.2                -0.4             37275.2                   0                   0             1074.38
                 3.2                -0.2               35071                   0                   0             1070.76
                 3.4                -0.4               35996                   0                   0             1072.28
                 3.4                -0.2             32555.1                   0                   0             1066.53
                 3.6                -0.4             35454.2                   0                   0             1071.39
                 3.6                -0.2             32035.2                   0                   0             1065.65
                 3.8                -0.4             35605.4                   0                   0             1071.64
                 3.8                -0.2               33870                   0                   0             1068.75
                   4                -0.4             34517.6                   0                   0             1069.84
                   4                -0.2               33560                   0                   0             1068.23
                 4.2                -0.4             33029.2                   0                   0             1067.34
                 4.2                -0.2               31785                   0                   0             1065.22
                 4.4                -0.4             31393.4                   0                   0             1064.55
                 4.4                -0.2             29447.5                   0                   0             1061.17
                 4.6                -0.4             29847.2                   0                   0             1061.87
                 4.6                -0.2             26704.5                   0                   0             1056.31
                 4.8                -0.4             28752.5                   0                   0             1059.95
                 4.8                -0.2             24526.2                   0                   0             1052.34
                   5                -0.4             28125.3                   0                   0             1058.84
                   5                -0.2             23523.7                   0                   0             1050.49
                 5.2                -0.4             27745.1                   0                   0             1058.17
                 5.2                -0.2             23648.5                   0                   0             1050.72
                 5.4                -0.4             27165.6                   0                   0             1057.13
                 5.4                -0.2             23878.9                   0                   0             1051.15
                 5.6                -0.4               26327                   0                   0             1055.63
                 5.6                -0.2             23443.2                   0                   0             1050.34
                 5.8                -0.4             25384.2                   0                   0             1053.91
                 5.8                -0.2               23144                   0                   0             1049.78
                   6                -0.4               24417                   0                   0             1052.14
                   6                -0.2               23049                   0                   0              1049.6
                 6.2                -0.4             23315.5                   0                   0              1050.1
                 6.2                -0.2             22707.9                   0                   0             1048.96
                 6.4                -0.4               22018                   0                   0             1047.66
                 6.4                -0.2             21607.5                   0                   0             1046.88
                 6.6                -0.4             20663.4                   0                   0             1045.08
                 6.6                -0.2             19981.8                   0                   0             1043.77
                 6.8                -0.4             19379.2                   0                   0              1042.6
                 6.8                -0.2             18238.1                   0                   0             1040.36
                   7                -0.4               18223                   0                   0             1040.34
                   7                -0.2             16541.1                   0                   0             1036.99
                 7.2                -0.4             17229.7                   0                   0             1038.37
                 7.2                -0.2             14760.5                   0                   0             1033.37
                 7.4                -0.4             16381.8                   0                   0             1036.67
                 7.4                -0.2             12997.8                   0                   0             1029.71
                 7.6                -0.4             15685.5                   0                   0             1035.26
                 7.6                -0.2             11252.6                   0                   0             1026.01
                 7.8                -0.4             15127.3                   0                   0             1034.12
                 7.8                -0.2             9592.91                   0                   0             1022.42
                   8                -0.4             14703.9                   0                   0             1033.25
                   8                -0.2             8096.35                   0                   0             1019.11
                 8.2                -0.4             14412.6                   0                   0             1032.65
                 8.2                -0.2             6828.61                   0                   0             1016.26
                 8.4                -0.4             14239.6                   0                   0              1032.3
                 8.4                -0.2             5850.02                   0                   0             1014.02
                 8.6                -0.4             14160.1                   0                   0             1032.13
                 8.6                -0.2             5153.97                   0                   0             1012.41
                 8.8                -0.4             14148.6                   0                   0             1032.11
                 8.8                -0.2             4685.15                   0                   0             1011.32
                   9                -0.4             14184.2                   0                   0             1032.18
                   9                -0.2             4371.45                   0                   0             1010.59
                 9.2                -0.4             14261.3                   0                   0             1032.34
                 9.2                -0.2             4160.99                   0                   0             1010.09
                 9.4                -0.4             14380.5                   0                   0             1032.59
                 9.4                -0.2             4027.42                   0                   0             1009.78
                 9.6                -0.4             14543.5                   0                   0             1032.92
                 9.6                -0.2              3961.7                   0                   0             1009.62
                 9.8                -0.4             14751.2                   0                   0             1033.35
                 9.8                -0.2             3976.31                   0                   0             1009.66
                  10                -0.4             15002.6                   0                   0             1033.87
                  10                -0.2             4084.95                   0                   0             1009.91
                10.2                -0.4             15298.6                   0                   0             1034.47
                10.2                -0.2             4302.81                   0                   0             1010.43
                10.4                -0.4             15635.2                   0                   0             1035.16
                10.4                -0.2             4637.19                   0                   0             1011.21
                10.6                -0.4             15999.2                   0                   0             1035.89
                10.6                -0.2             5080.64                   0                   0             1012.24
                10.8                -0.4             16369.7                   0                   0             1036.64
                10.8                -0.2             5608.28                   0                   0             1013.46
                  11                -0.4             16724.3                   0                   0             1037.35
                  11                -0.2             6187.28                   0                   0              1014.8
                11.2                -0.4             17044.9                   0                   0                1038
                11.2                -0.2             6788.26                   0                   0             1016.17
                11.4                -0.4             17318.8                   0                   0             1038.54
                11.4                -0.2             7380.47                   0                   0              1017.5
                11.6                -0.4               17538                   0                   0             1038.98
                11.6                -0.2              7934.8                   0                   0             1018.75
                11.8                -0.4             17698.5                   0                   0              1039.3
                11.8                -0.2             8428.72                   0                   0             1019.85
                  12                -0.4             17802.1                   0                   0              1039.5
                  12                -0.2              8851.8                   0                   0             1020.79
                12.2                -0.4               17855                   0                   0             1039.61
                12.2                -0.2              9195.3                   0                   0             1021.54
                12.4                -0.4             17868.3                   0                   0             1039.63
                12.4                -0.2             9473.87                   0                   0             1022.16
                12.6                -0.4             17855.2                   0                   0             1039.61
                12.6                -0.2             9521.29                   0                   0             1022.26
                12.8                -0.4             17808.3                   0                   0             1039.52
                12.8                -0.2             9693.17                   0                   0             1022.64
                  13                -0.4             17764.5                   0                   0             1039.43
                  13                -0.2             9831.84                   0                   0             1022.94
                13.2                -0.4             17729.5                   0                   0             1039.36
                13.2                -0.2             9954.31                   0                   0             1023.21
                13.4                -0.4             17709.9                   0                   0             1039.32
                13.4                -0.2             10074.4                   0                   0             1023.47
                13.6                -0.4             17711.3                   0                   0             1039.32
                13.6                -0.2             10201.5                   0                   0             1023.74
                13.8                -0.4             17736.8                   0                   0             1039.37
                13.8                -0.2             10339.4                   0                   0             1024.04
                  14                -0.4             17787.8                   0                   0             1039.47
                  14                -0.2             10494.3                   0                   0             1024.38
                14.2                -0.4             17864.2                   0                   0             1039.63
                14.2                -0.2             10659.5                   0                   0             1024.74
                14.4                -0.4             17961.4                   0                   0             1039.82
                14.4                -0.2             10987.6                   0                   0             1025.44
                14.6                -0.4             18092.6                   0                   0             1040.08
                14.6                -0.2             11170.5                   0                   0             1025.84
                14.8                -0.4             18231.4                   0                   0             1040.35
                14.8                -0.2             11354.5                   0                   0             1026.23
                  15                -0.4             18381.1                   0                   0             1040.65
                  15                -0.2             11547.4                   0                   0             1026.64
                15.2                -0.4             18545.8                   0                   0             1040.97
                15.2                -0.2               11770                   0                   0             1027.12
